title,price,shipping,sold_date,img_link
Shop on eBay,$20.00,$20.00,,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
Gohan The Bookworm Limited Foil Dbz Dragon Ball Score Tcg Ccg Rare,$170.50,$170.50,"Sold  Dec 21, 2022",https://i.ebayimg.com/thumbs/images/g/8P4AAOSw745jnLtx/s-l225.jpg
Dragon Ball Z DBZ CCG X Promo Vegeta's Energy Focus X2 PSA 8 NM-MT,$57.00,$57.00,"Sold  Dec 18, 2022",https://i.ebayimg.com/thumbs/images/g/UEQAAOSwd2BjlmFI/s-l225.jpg
Dragon Ball Z DBZ CCG Fusion Saga Vegito Lvl 1 Limited PSA 10 GEM MINT!!,$74.00,$74.00,"Sold  Dec 18, 2022",https://i.ebayimg.com/thumbs/images/g/tP0AAOSwdJZjlmDV/s-l225.jpg
Dragon Ball Z DBZ CCG Android Movie Sub Trunks Swordplay Drill M24 PSA 8 NM-MT,$15.00,$15.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/s9gAAOSwA7hjjUYm/s-l225.jpg
Dragon Ball Z DBZ CCG Redemption Promo Trunks' Sword Slice TR3 PSA 8 NM-MT,$72.00,$72.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/W6sAAOSwvnhjjUXv/s-l225.jpg
Dragon Ball Z DBZ CCG X Promo Vegeta's Energy Focus X2 PSA 8 NM-MT,$43.00,$43.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/eegAAOSwPo1jjUXM/s-l225.jpg
Dragon Ball Z DBZ CCG Trunks Saga Namek Dragon Ball 6 #113 Foil PSA 10 GEM MINT!,$38.00,$38.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/cDUAAOSw1gljjUUZ/s-l225.jpg
Dragon Ball Z DBZ CCG Scoring Zone Promo Champion Belt SZ4 PSA 8 NM-MT No Higher,$157.50,$157.50,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/iCQAAOSwKvFjjUR6/s-l225.jpg
"Dragon Ball Z DBZ CCG Lost Villains Frieza, the Untouchable PSA 9 MINT! POP 2",$27.00,$27.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/SEQAAOSwHyNjjURD/s-l225.jpg
"Dragon Ball Z DBZ CCG Lost Villains King Cold, the Boastful PSA 8 NM-MT POP 2",$6.50,$6.50,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/Re4AAOSwms1jjUO5/s-l225.jpg
"Dragon Ball Z DBZ CCG Puppet Show Subset Goku, the Puppet PSA 9 MINT! POP 2",$26.00,$26.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/95oAAOSwZH9jjUOC/s-l225.jpg
"Dragon Ball Z DBZ CCG Puppet Show Subset Vegeta, the Puppet PSA 9 MINT! POP 1",$31.00,$31.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/kuIAAOSwnCRjjUL9/s-l225.jpg
Dragon Ball Z DBZ CCG Androids Saga Piccolo the Trained Limited PSA 10 GEM MINT!,$52.00,$52.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/760AAOSwQRNjjUKO/s-l225.jpg
"Dragon Ball Z DBZ CCG Buu Saga Goku, Super Saiyan Ascended Limited PSA 8 NM-MT",$41.00,$41.00,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/-38AAOSwvHJjjUJG/s-l225.jpg
Dragon Ball Z DBZ CCG Brothers In Training Preview 5 Foil Limited PSA 9 MINT!,$76.99,$76.99,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/xhcAAOSwi25jjUHM/s-l225.jpg
Dragon Ball Z DBZ CCG Frieza Saga Piccolo Lvl 4 #94 Limited PSA 8 NM-MT,$6.50,$6.50,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/Yd0AAOSwMmtjjUF7/s-l225.jpg
DBZ CCG SCORE SUPER SAIYAN GOKU 125 FOIL LIMITED ULTRA RARE FRIEZA SAGA BGS 8.5+,"$2,179.79","$2,179.79","Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/MWAAAOSwyGBjjLLk/s-l225.jpg
DBZ CCG SCORE FRIEZA THE MASTER 124 FOIL LIMITED ULTRA RARE FRIEZA SAGA BGS 8.5+,$890.34,$890.34,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/4o8AAOSwJ8FjjK9n/s-l225.jpg
DBZ CCG DRAGON BALL Z EVIL PRESENCE DRILL #158 ULTRA RARE BGS 8.5 NM-MT+ SCORE,$599.99,$599.99,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/qmYAAOSwLqhjRfjA/s-l225.jpg
Orange Fishing Drill Ultra Rare 2004 Baby Saga DBZ GT SCORE BGS 8.5 Mint Foil,$8.39,$8.39,"Sold  Dec 11, 2022",https://i.ebayimg.com/thumbs/images/g/f4wAAOSw5DljRTYx/s-l225.jpg
Frieza the Master - Unlimited - PSA 4 - DBZ CCG Score (2000),$105.00,$105.00,"Sold  Dec 10, 2022",https://i.ebayimg.com/thumbs/images/g/5toAAOSwGtJjXCaB/s-l225.jpg
PSA 10 SSG Son Goku Magnificent Might Dragon Ball Super BT17 138 SPR Gem Mint 2,$33.00,$33.00,"Sold  Dec 10, 2022",https://i.ebayimg.com/thumbs/images/g/zE0AAOSwMpRji4IM/s-l225.jpg
"Score DBZ TCG: Gotenks Lvl1, 7 Star Hi-Tech Gate Foil Buu Saga Hyper Rare(CTA 5)",$134.29,$134.29,"Sold  Dec 9, 2022",https://i.ebayimg.com/thumbs/images/g/3ZUAAOSwU3BikIAw/s-l225.jpg
"DBZ CCG Group Listing for Specific Overseas Buyer, don't buy unless him",$117.54,$117.54,"Sold  Dec 7, 2022",https://i.ebayimg.com/thumbs/images/g/KMIAAOSwHkNjhAcO/s-l225.jpg
PSA 10 SSG Son Goku Magnificent Might Dragon Ball Super BT17 138 SPR Gem Mint 💎,$35.00,$35.00,"Sold  Dec 6, 2022",https://i.ebayimg.com/thumbs/images/g/N6IAAOSwC7RjiVy1/s-l225.jpg
2003 Dbz Score Ccg Saiyan Style Mastery Buu Saga Foil Ss3 Goku PSA 8 Mint,$40.29,$40.29,"Sold  Dec 6, 2022",https://i.ebayimg.com/thumbs/images/g/jhMAAOSw7VRji73a/s-l225.jpg
"Broly, The ferocious Promo Limited Foil Dbz Dragonball Score",$100.00,$100.00,"Sold  Dec 5, 2022",https://i.ebayimg.com/thumbs/images/g/7fkAAOSwbtpjhQHA/s-l225.jpg
